Date,State,New Confirmed Cases,7-Day Avg,Quarter,Average Fare ($),Adj Average Fare ($),Passengers_2024_Benchmark
2019-10-01,CA,109,109.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-02,CA,0,54.5,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-03,CA,139,82.66666666666667,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-04,CA,314,140.5,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-05,CA,0,112.4,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-06,CA,0,93.66666666666669,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-07,CA,325,126.71428571428572,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-08,CA,163,134.42857142857142,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-09,CA,0,134.42857142857142,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-10,CA,118,131.42857142857142,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-11,CA,0,86.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-12,CA,0,86.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-13,CA,58,94.85714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-14,CA,0,48.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-15,CA,0,25.142857142857142,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-16,CA,0,25.142857142857142,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-17,CA,0,8.285714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-18,CA,72,18.571428571428573,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-19,CA,0,18.571428571428573,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-20,CA,0,10.285714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-21,CA,303,53.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-22,CA,0,53.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-23,CA,23,56.85714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-24,CA,0,56.85714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-25,CA,0,46.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-26,CA,32,51.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-27,CA,0,51.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-28,CA,85,20.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-29,CA,0,20.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-30,CA,0,16.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-31,CA,0,16.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-01,CA,380,71.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-02,CA,7,67.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-03,CA,0,67.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-04,CA,174,80.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-05,CA,0,80.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-06,CA,51,87.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-07,CA,0,87.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-08,CA,0,33.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-09,CA,49,39.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-10,CA,157,61.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-11,CA,44,43.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-12,CA,0,43.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-13,CA,0,35.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-14,CA,0,35.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-15,CA,0,35.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-16,CA,0,28.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-17,CA,221,37.85714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-18,CA,78,42.71428571428572,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-19,CA,0,42.71428571428572,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-20,CA,74,53.285714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-21,CA,0,53.285714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-22,CA,0,53.285714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-23,CA,132,72.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-24,CA,216,71.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-25,CA,196,88.28571428571429,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-26,CA,0,88.28571428571429,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-27,CA,0,77.71428571428571,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-28,CA,76,88.57142857142857,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-29,CA,205,117.85714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-11-30,CA,0,99.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-01,CA,0,68.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-02,CA,0,40.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-03,CA,0,40.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-04,CA,172,64.71428571428571,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-05,CA,281,94.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-06,CA,0,64.71428571428571,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-07,CA,210,94.71428571428572,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-08,CA,82,106.42857142857144,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-09,CA,0,106.42857142857144,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-10,CA,82,118.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-11,CA,317,138.85714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-12,CA,2,99.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-13,CA,322,145.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-14,CA,0,115.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-15,CA,174,128.14285714285714,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-16,CA,27,132.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-17,CA,0,120.28571428571428,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-18,CA,28,79.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-19,CA,0,78.71428571428571,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-20,CA,0,32.714285714285715,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-21,CA,81,44.285714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-22,CA,305,63.0,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-23,CA,0,59.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-24,CA,0,59.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
