Quarter,Airport Code,City,State,Average Fare ($),Adj Average Fare ($),Passengers (2024 Benchmark)
Q4_2019,ADK,Adak Island,AK,1028.5,1262.1,57.0
Q4_2019,ANC,Anchorage,AK,494.67,607.03,113291.0
Q4_2019,BRW,Barrow,AK,505.97,620.9,1914.0
Q4_2019,BET,Bethel,AK,365.03,447.94,5442.0
Q4_2019,CYF,Chefornak,AK,895.0,1098.28,
Q4_2019,CDB,Cold Bay,AK,890.6,1092.88,5.0
Q4_2019,CDV,Cordova,AK,394.8,484.47,811.0
Q4_2019,SCC,Deadhorse,AK,422.95,519.02,1933.0
Q4_2019,DLG,Dillingham,AK,885.16,1086.21,1385.0
Q4_2019,FAI,Fairbanks,AK,456.36,560.02,27618.0
Q4_2019,GAL,Galena,AK,681.0,835.67,
Q4_2019,HOM,Homer,AK,572.9,703.02,66.0
Q4_2019,JNU,Juneau,AK,435.11,533.94,14056.0
Q4_2019,ENA,Kenai,AK,672.34,825.05,
Q4_2019,KTN,Ketchikan,AK,472.61,579.95,5377.0
Q4_2019,AKN,King Salmon,AK,750.24,920.64,959.0
Q4_2019,ADQ,Kodiak,AK,498.56,611.79,3500.0
Q4_2019,OTZ,Kotzebue,AK,442.49,542.99,2107.0
Q4_2019,OME,Nome,AK,530.59,651.1,2311.0
Q4_2019,PSG,Petersburg,AK,451.39,553.91,1000.0
Q4_2019,SDP,Sandpoint,AK,937.9,1150.93,1.0
Q4_2019,SHH,Shishmaref,AK,520.0,638.11,
Q4_2019,SIT,Sitka,AK,443.81,544.62,3745.0
Q4_2019,DUT,Unalaska,AK,1071.5,1314.87,64.0
Q4_2019,VDZ,Valdez,AK,704.88,864.97,12.0
Q4_2019,WRG,Wrangell,AK,383.13,470.15,631.0
Q4_2019,YAK,Yakutat,AK,430.37,528.12,370.0
Q4_2019,BHM,Birmingham,AL,444.45,545.4,87795.0
Q4_2019,DHN,Dothan,AL,623.98,765.71,1974.0
Q4_2019,HSV,Huntsville,AL,527.35,647.13,44464.0
Q4_2019,MOB,Mobile,AL,472.63,579.98,15611.0
Q4_2019,BFM,Mobile,AL,112.87,138.5,371.0
Q4_2019,MGM,Montgomery,AL,533.35,654.49,10260.0
Q4_2019,MSL,Muscle Shoals,AL,343.21,421.17,91.0
Q4_2019,ELD,El Dorado,AR,489.0,600.07,24.0
Q4_2019,XNA,Fayetteville,AR,469.38,575.99,60392.0
Q4_2019,FSM,Fort Smith,AR,517.61,635.18,3187.0
Q4_2019,HRO,Harrison,AR,278.0,341.14,30.0
Q4_2019,HOT,Hot Springs,AR,532.0,652.83,39.0
Q4_2019,LIT,Little Rock,AR,414.07,508.11,63818.0
Q4_2019,TXK,Texarkana,AR,514.05,630.8,2325.0
Q4_2019,FLG,Flagstaff,AZ,416.99,511.7,3507.0
Q4_2019,PGA,Page,AZ,404.0,495.76,143.0
Q4_2019,PHX,Phoenix,AZ,346.1,424.7,825399.0
Q4_2019,AZA,Phoenix,AZ,152.35,186.95,40330.0
Q4_2019,PRC,Prescott,AZ,494.41,606.7,525.0
Q4_2019,SOW,Show Low,AZ,435.08,533.9,62.0
Q4_2019,TUS,Tucson,AZ,390.91,479.69,102184.0
Q4_2019,YUM,Yuma,AZ,456.05,559.63,4071.0
Q4_2019,ACV,Arcata/Eureka,CA,518.49,636.26,7528.0
Q4_2019,BFL,Bakersfield,CA,521.61,640.08,11994.0
Q4_2019,BUR,Burbank,CA,289.25,354.95,183243.0
Q4_2019,IPL,El Centro,CA,364.5,447.29,141.0
Q4_2019,FAT,Fresno,CA,405.33,497.39,65689.0
Q4_2019,LGB,Long Beach,CA,242.11,297.1,102848.0
Q4_2019,LAX,Los Angeles,CA,372.1,456.62,1284083.0
Q4_2019,MMH,Mammoth Lakes,CA,251.44,308.55,
Q4_2019,MCE,Merced,CA,449.6,551.72,
Q4_2019,MRY,Monterey,CA,423.11,519.2,14130.0
Q4_2019,OAK,Oakland,CA,309.48,379.77,268902.0
Q4_2019,ONT,Ontario,CA,332.79,408.38,198746.0
Q4_2019,PSP,Palm Springs,CA,386.74,474.58,52513.0
Q4_2019,RDD,Redding,CA,502.48,616.61,5149.0
Q4_2019,SMF,Sacramento,CA,337.44,414.08,367629.0
Q4_2019,SAN,San Diego,CA,337.79,414.51,596023.0
Q4_2019,SFO,San Francisco,CA,420.22,515.67,844286.0
Q4_2019,SJC,San Jose,CA,304.39,373.52,305263.0
Q4_2019,SBP,San Luis Obispo,CA,501.13,614.95,19797.0
Q4_2019,SNA,Santa Ana,CA,401.61,492.82,254126.0
Q4_2019,SBA,Santa Barbara,CA,444.86,545.9,36080.0
Q4_2019,SMX,Santa Maria,CA,117.07,143.66,739.0
Q4_2019,STS,Santa Rosa,CA,326.36,400.49,21711.0
Q4_2019,SCK,Stockton,CA,155.79,191.18,3948.0
Q4_2019,ALS,Alamosa,CO,480.0,589.02,295.0
Q4_2019,ASE,Aspen,CO,565.37,693.79,11153.0
Q4_2019,COS,Colorado Springs,CO,389.56,478.04,67750.0
Q4_2019,CEZ,Cortez,CO,402.39,493.78,98.0
Q4_2019,DEN,Denver,CO,309.89,380.28,1023630.0
Q4_2019,DRO,Durango,CO,548.68,673.31,11912.0
Q4_2019,EGE,Eagle,CO,506.15,621.11,7923.0
Q4_2019,GJT,Grand Junction,CO,455.33,558.75,13880.0
Q4_2019,GUC,Gunnison,CO,577.03,708.08,1725.0
Q4_2019,HDN,Hayden,CO,489.44,600.61,6709.0
Q4_2019,MTJ,Montrose/Delta,CO,464.89,570.48,10218.0
Q4_2019,PUB,Pueblo,CO,462.12,567.08,86.0
Q4_2019,TEX,Telluride,CO,678.22,832.26,162.0
Q4_2019,BDL,Hartford,CT,385.81,473.44,210677.0
Q4_2019,HVN,New Haven,CT,395.71,485.59,45855.0
Q4_2019,IAD,Washington-Dulles,DC,465.52,571.25,316263.0
Q4_2019,DCA,Washington-Reagan National,DC,377.07,462.71,547638.0
Q4_2019,DAB,Daytona Beach,FL,421.23,516.9,16860.0
Q4_2019,FLL,Fort Lauderdale,FL,250.21,307.03,585196.0
Q4_2019,RSW,Fort Myers,FL,315.77,387.49,215751.0
Q4_2019,GNV,Gainesville,FL,453.87,556.96,16639.0
Q4_2019,JAX,Jacksonville,FL,344.97,423.33,190561.0
Q4_2019,EYW,Key West,FL,410.18,503.34,16616.0
Q4_2019,MLB,Melbourne,FL,444.42,545.36,12470.0
Q4_2019,MIA,Miami,FL,324.4,398.08,478084.0
Q4_2019,MCO,Orlando,FL,252.15,309.42,845562.0
Q4_2019,ECP,Panama City,FL,401.73,492.98,33188.0
Q4_2019,PNS,Pensacola,FL,422.97,519.04,72946.0
Q4_2019,PGD,Punta Gorda,FL,151.17,185.51,37063.0
Q4_2019,SFB,Sanford,FL,131.14,160.93,48131.0
Q4_2019,SRQ,Sarasota/Bradenton,FL,339.31,416.38,86365.0
Q4_2019,PIE,St. Petersburg,FL,134.69,165.28,48668.0
Q4_2019,TLH,Tallahassee,FL,517.18,634.65,25686.0
Q4_2019,TPA,Tampa,FL,306.84,376.53,534514.0
Q4_2019,VPS,Valparaiso,FL,402.34,493.72,38296.0
Q4_2019,PBI,West Palm Beach/Palm Beach,FL,334.75,410.78,207211.0
Q4_2019,ABY,Albany,GA,581.95,714.13,1697.0
Q4_2019,ATL,Atlanta,GA,367.97,451.54,1012618.0
Q4_2019,AGS,Augusta,GA,444.65,545.64,17458.0
Q4_2019,BQK,Brunswick,GA,498.42,611.62,1856.0
Q4_2019,CSG,Columbus,GA,523.88,642.86,3020.0
Q4_2019,SAV,Savannah,GA,368.47,452.17,85268.0
Q4_2019,VLD,Valdosta,GA,583.76,716.35,2803.0
Q4_2019,ITO,Hilo,HI,259.56,318.51,37948.0
Q4_2019,HNL,Honolulu,HI,340.27,417.56,355128.0
Q4_2019,MKK,Hoolehua,HI,196.47,241.09,39.0
Q4_2019,OGG,Kahului,HI,258.59,317.33,112368.0
