Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,278.10,341.68," 12,84,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,247.55,304.15," 10,89,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,233.50,286.89," 10,23,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,262.61,322.66," 10,12,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,254.67,312.89," 9,86,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,301.79,370.79," 9,40,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,288.01,353.86," 8,94,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,270.65,332.53," 8,80,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,208.57,256.26," 8,45,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,312.67,384.15," 8,44,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,249.26,306.25," 8,25,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,241.69,296.95," 7,95,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,321.04,394.44," 7,50,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,206.67,253.93," 6,75,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,267.34,328.46," 6,57,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,335.12,411.74," 6,27,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,258.11,317.12," 6,18,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,264.22,324.63," 5,96,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,218.52,268.48," 5,85,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,280.07,344.11," 5,72,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,262.99,323.11," 5,47,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,249.51,306.56," 5,34,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,235.49,289.33," 4,89,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,246.70,303.10," 4,78,084 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,263.61,323.88," 4,72,888 ",,,,,,,,,,,
26,CLT,Charlotte Douglas International,Charlotte,NC,320.12,393.32," 4,46,301 ",,,,,,,,,,,
27,PDX,Portland International,Portland,OR,272.05,334.25," 4,41,785 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,224.56,275.91," 4,41,195 ",,,,,,,,,,,
29,SLC,Salt Lake City International,Salt Lake City,UT,297.77,365.85," 4,34,499 ",,,,,,,,,,,
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,260.44,319.98," 4,03,082 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,251.70,309.25," 3,67,629 ",,,,,,,,,,,
32,HNL,Daniel K Inouye International,Honolulu,HI,268.87,330.35," 3,55,128 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,207.32,254.72," 3,49,329 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,245.42,301.53," 3,17,689 ",,,,,,,,,,,
35,IAD,Washington Dulles International,Washington-Dulles,DC,322.66,396.43," 3,16,263 ",,,,,,,,,,,
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,230.54,283.25," 3,05,263 ",,,,,,,,,,,
37,MCI,Kansas City International,Kansas City,MO,248.73,305.60," 2,97,424 ",,,,,,,,,,,
38,DAL,Dallas Love Field,Dallas-Love Field,TX,216.92,266.52," 2,89,935 ",,,,,,,,,,,
39,IND,Indianapolis International,Indianapolis,IN,242.96,298.51," 2,89,135 ",,,,,,,,,,,
40,CLE,Cleveland-Hopkins International,Cleveland,OH,228.26,280.46," 2,75,340 ",,,,,,,,,,,
41,PIT,Pittsburgh International,Pittsburgh,PA,248.91,305.82," 2,73,272 ",,,,,,,,,,,
42,OAK,Metro Oakland International,Oakland,CA,211.28,259.59," 2,68,902 ",,,,,,,,,,,
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,237.95,292.36," 2,68,725 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,216.20,265.63," 2,62,979 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,262.70,322.76," 2,61,417 ",,,,,,,,,,,
46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,214.79,263.90," 2,54,552 ",,,,,,,,,,,
47,SNA,John Wayne Airport-Orange County,Santa Ana,CA,274.94,337.80," 2,54,126 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,258.70,317.85," 2,44,751 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,235.24,289.03," 2,29,047 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,245.06,301.08," 2,15,751 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,254.12,312.23," 2,10,677 ",,,,,,,,,,,
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,251.74,309.29," 2,07,211 ",,,,,,,,,,,
53,ONT,Ontario International,Ontario,CA,249.93,307.07," 1,98,746 ",,,,,,,,,,,
54,JAX,Jacksonville International,Jacksonville,FL,270.09,331.85," 1,90,561 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,219.06,269.15," 1,83,243 ",,,,,,,,,,,
56,MKE,General Mitchell International,Milwaukee,WI,262.00,321.90," 1,79,994 ",,,,,,,,,,,
57,BUF,Buffalo Niagara International,Buffalo,NY,260.12,319.59," 1,46,872 ",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,270.27,332.06," 1,45,166 ",,,,,,,,,,,
59,CHS,Charleston AFB/International,Charleston,SC,269.55,331.18," 1,44,183 ",,,,,,,,,,,
60,OMA,Eppley Airfield,Omaha,NE,254.09,312.18," 1,43,403 ",,,,,,,,,,,
61,BOI,Boise Air Terminal,Boise,ID,275.62,338.64," 1,35,151 ",,,,,,,,,,,
