Average Domestic Airline Itinerary Fares By Origin City for Q3 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,250.19,303.95," 12,84,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,209.33,254.32," 10,89,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,214.75,260.90," 10,23,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,250.26,304.04," 10,12,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,233.59,283.78," 9,86,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,215.01,261.22," 9,40,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,263.12,319.66," 8,94,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,254.61,309.33," 8,80,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,191.86,233.09," 8,45,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,287.45,349.22," 8,44,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,244.91,297.54," 8,25,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,211.44,256.87," 7,95,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,281.08,341.48," 7,50,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,186.01,225.98," 6,75,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,239.39,290.83," 6,57,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,266.48,323.75," 6,27,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,218.63,265.61," 6,18,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,249.87,303.56," 5,96,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,185.73,225.64," 5,85,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,253.57,308.06," 5,72,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,255.74,310.70," 5,47,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,230.78,280.37," 5,34,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,220.46,267.84," 4,89,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,214.84,261.01," 4,78,084 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,244.87,297.49," 4,72,888 ",,,,,,,,,,,
26,CLT,Charlotte Douglas International,Charlotte,NC,279.57,339.64," 4,46,301 ",,,,,,,,,,,
27,PDX,Portland International,Portland,OR,257.35,312.65," 4,41,785 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,225.26,273.66," 4,41,195 ",,,,,,,,,,,
29,SLC,Salt Lake City International,Salt Lake City,UT,288.44,350.42," 4,34,499 ",,,,,,,,,,,
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,246.81,299.85," 4,03,082 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,251.34,305.36," 3,67,629 ",,,,,,,,,,,
32,HNL,Daniel K Inouye International,Honolulu,HI,267.52,325.01," 3,55,128 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,185.29,225.10," 3,49,329 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,242.90,295.10," 3,17,689 ",,,,,,,,,,,
35,IAD,Washington Dulles International,Washington-Dulles,DC,301.95,366.84," 3,16,263 ",,,,,,,,,,,
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,222.66,270.51," 3,05,263 ",,,,,,,,,,,
37,MCI,Kansas City International,Kansas City,MO,246.47,299.44," 2,97,424 ",,,,,,,,,,,
38,DAL,Dallas Love Field,Dallas-Love Field,TX,215.22,261.46," 2,89,935 ",,,,,,,,,,,
39,IND,Indianapolis International,Indianapolis,IN,240.43,292.10," 2,89,135 ",,,,,,,,,,,
40,CLE,Cleveland-Hopkins International,Cleveland,OH,211.19,256.58," 2,75,340 ",,,,,,,,,,,
41,PIT,Pittsburgh International,Pittsburgh,PA,239.16,290.55," 2,73,272 ",,,,,,,,,,,
42,OAK,Metro Oakland International,Oakland,CA,202.82,246.41," 2,68,902 ",,,,,,,,,,,
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,219.35,266.48," 2,68,725 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,177.15,215.22," 2,62,979 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,260.73,316.76," 2,61,417 ",,,,,,,,,,,
46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,219.98,267.25," 2,54,552 ",,,,,,,,,,,
47,SNA,John Wayne Airport-Orange County,Santa Ana,CA,271.18,329.45," 2,54,126 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,245.53,298.29," 2,44,751 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,226.47,275.13," 2,29,047 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,231.04,280.69," 2,15,751 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,252.96,307.32," 2,10,677 ",,,,,,,,,,,
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,257.24,312.52," 2,07,211 ",,,,,,,,,,,
53,ONT,Ontario International,Ontario,CA,259.18,314.88," 1,98,746 ",,,,,,,,,,,
54,JAX,Jacksonville International,Jacksonville,FL,256.61,311.75," 1,90,561 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,219.57,266.75," 1,83,243 ",,,,,,,,,,,
56,MKE,General Mitchell International,Milwaukee,WI,248.23,301.57," 1,79,994 ",,,,,,,,,,,
57,BUF,Buffalo Niagara International,Buffalo,NY,239.03,290.39," 1,46,872 ",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,261.06,317.16," 1,45,166 ",,,,,,,,,,,
59,CHS,Charleston AFB/International,Charleston,SC,253.71,308.23," 1,44,183 ",,,,,,,,,,,
60,OMA,Eppley Airfield,Omaha,NE,245.30,298.01," 1,43,403 ",,,,,,,,,,,
